"Site","nYear","nYearMODIS","PFT","Latitude","Longitude","Climate","Model","DOI","Period"
"DE-RuS",4,4,"CRO",50.86591,6.44714,"C","Yes","10.18140/FLX/1440216","2011-2014"
"DE-Seh",4,4,"CRO",50.87062,6.44965,"C","No","10.18140/FLX/1440217","2007-2010"
"DE-SfN",3,3,"WET",47.80639,11.3275,"D","Yes","10.18140/FLX/1440219","2012-2014"
"DE-Spw",5,5,"WET",51.89225,14.03369,"D","Yes","10.18140/FLX/1440220","2010-2014"
"DE-Tha",19,14,"ENF",50.96256,13.56515,"D","Yes","10.18140/FLX/1440152","1996-2014"
"DE-Zrk",2,2,"WET",53.87594,12.88901,"D","Yes","10.18140/FLX/1440221","2013-2014"
"DK-Eng",4,4,"GRA",55.69053,12.19175,"D","No","10.18140/FLX/1440153","2005-2008"
"DK-Fou",1,1,"CRO",56.4842,9.58722,"D","No","10.18140/FLX/1440154","2005-2005"
"DK-Sor",19,14,"DBF",55.48587,11.64464,"C","Yes","10.18140/FLX/1440155","1996-2014"
"ES-Amo",6,6,"SH",36.83361,-2.25232,"B","No","10.18140/FLX/1440156","2007-2012"
"ES-LgS",3,3,"SH",37.09794,-2.96583,"B","No","10.18140/FLX/1440225","2007-2009"
"ES-LJu",10,10,"SH",36.92659,-2.75212,"B","No","10.18140/FLX/1440157","2004-2013"
"ES-Ln2",1,1,"SH",36.9695,-3.47582,"C","No","10.18140/FLX/1440226","2009-2009"
"FI-Hyy",19,14,"ENF",61.84741,24.29477,"D","Yes","10.18140/FLX/1440158","1996-2014"
"FI-Jok",4,3,"CRO",60.8986,23.51345,"D","Yes","10.18140/FLX/1440159","2000-2003"
"FI-Let",4,4,"ENF",60.64183,23.95952,"D","Yes","10.18140/FLX/1440227","2009-2012"
"FI-Lom",3,3,"WET",67.99724,24.20918,"D","Yes","10.18140/FLX/1440228","2007-2009"
"FI-Sod",14,14,"ENF",67.36239,26.63859,"D","Yes","10.18140/FLX/1440160","2001-2014"
"FR-Fon",10,10,"DBF",48.47636,2.7801,"C","Yes","10.18140/FLX/1440161","2005-2014"
"FR-Gri",11,11,"CRO",48.84422,1.95191,"C","No","10.18140/FLX/1440162","2004-2014"
"FR-LBr",13,8,"ENF",44.71711,-0.7693,"C","No","10.18140/FLX/1440163","1996-2008"
"FR-Pue",15,14,"EBF",43.7413,3.5957,"C","No","10.18140/FLX/1440164","2000-2014"
"GF-Guy",11,11,"EBF",5.27877,-52.92486,"A","No","10.18140/FLX/1440165","2004-2014"
"GH-Ank",4,4,"EBF",5.26854,-2.69421,"A","No","10.18140/FLX/1440229","2011-2014"
"GL-NuF",7,7,"WET",64.13083,-51.38611,"E","No","10.18140/FLX/1440222","2008-2014"
"GL-ZaF",4,4,"WET",74.48143,-20.55452,"E","No","10.18140/FLX/1440223","2008-2011"
"GL-ZaH",15,14,"GRA",74.47328,-20.5503,"E","No","10.18140/FLX/1440224","2000-2014"
"IT-BCi",11,11,"CRO",40.52375,14.95744,"C","No","10.18140/FLX/1440166","2004-2014"
"IT-CA1",4,4,"DBF",42.38041,12.02656,"C","No","10.18140/FLX/1440230","2011-2014"
"IT-CA2",4,4,"CRO",42.37722,12.02604,"C","No","10.18140/FLX/1440231","2011-2014"
"IT-CA3",4,4,"DBF",42.38,12.0222,"C","No","10.18140/FLX/1440232","2011-2014"
"IT-Col",19,14,"DBF",41.84936,13.58814,"C","Yes","10.18140/FLX/1440167","1996-2014"
"IT-Cp2",3,3,"EBF",41.70427,12.35729,"C","No","10.18140/FLX/1440233","2012-2014"
"IT-Cpz",13,9,"EBF",41.70525,12.37611,"C","No","10.18140/FLX/1440168","1997-2009"
"IT-Isp",2,2,"DBF",45.81264,8.63358,"D","Yes","10.18140/FLX/1440234","2013-2014"
"IT-La2",3,2,"ENF",45.9542,11.2853,"C","No","10.18140/FLX/1440235","2000-2002"
"IT-Lav",12,12,"ENF",45.9562,11.28132,"C","No","10.18140/FLX/1440169","2003-2014"
"IT-MBo",11,11,"GRA",46.01468,11.04583,"D","Yes","10.18140/FLX/1440170","2003-2013"
"IT-Noe",11,11,"SH",40.60618,8.15169,"C","No","10.18140/FLX/1440171","2004-2014"
"IT-PT1",3,3,"DBF",45.20087,9.06104,"C","Yes","10.18140/FLX/1440172","2002-2004"
"IT-Ren",16,13,"ENF",46.58686,11.43369,"D","No","10.18140/FLX/1440173","1998-2013"
"IT-Ro1",9,8,"DBF",42.40812,11.93001,"C","Yes","10.18140/FLX/1440174","2000-2008"
"IT-Ro2",11,11,"DBF",42.39026,11.92093,"C","No","10.18140/FLX/1440175","2002-2012"
"IT-SR2",2,2,"ENF",43.73202,10.29091,"C","No","10.18140/FLX/1440236","2013-2014"
"IT-SRo",14,12,"ENF",43.72786,10.28444,"C","No","10.18140/FLX/1440176","1999-2012"
"IT-Tor",7,7,"GRA",45.84444,7.57806,"D","Yes","10.18140/FLX/1440237","2008-2014"
